,bathrooms,bedrooms,floors,grade,price,sqft_above,sqft_basement,sqft_living,sqft_lot
177,1.0,3,1.0,6,385000.0,1220,0.0,1220,4800
178,1.5,3,1.0,7,269950.0,1320,630.0,1950,7560
179,1.0,2,1.0,7,330000.0,1060,290.0,1350,8220
180,2.5,3,2.0,7,260000.0,1670,0.0,1670,5797
181,3.0,4,1.5,7,470000.0,1680,700.0,2380,5125
182,3.0,4,2.0,7,589000.0,2440,0.0,2440,9600
183,1.5,2,2.0,7,163500.0,1050,0.0,1050,3419
184,2.75,4,2.0,9,835000.0,2140,990.0,3130,13412
185,3.0,5,1.0,10,1100000.0,2090,2000.0,4090,12850
186,1.75,4,1.0,8,269000.0,1100,390.0,1490,10000
187,2.5,3,2.0,8,560000.0,1900,0.0,1900,8744
188,1.0,4,1.5,6,615000.0,1330,0.0,1330,2400
189,2.25,3,1.0,8,585188.0,1430,800.0,2230,10026
190,1.75,3,1.0,7,305000.0,1220,430.0,1650,9480
191,1.0,3,1.0,6,166950.0,1190,0.0,1190,8820
192,2.5,3,1.0,8,799000.0,2140,0.0,2140,9897
193,2.5,3,1.0,7,400000.0,1420,760.0,2180,7508
194,1.0,3,1.0,7,230000.0,1060,0.0,1060,10228
195,2.5,3,2.0,8,256883.0,1690,0.0,1690,5025
196,2.0,4,1.5,7,423000.0,1130,840.0,1970,6480
197,2.5,3,2.0,8,465000.0,2150,0.0,2150,4084
198,2.5,3,2.0,7,440000.0,1910,0.0,1910,66211
200,1.0,3,1.0,6,210000.0,860,0.0,860,11725
201,2.5,3,2.0,8,297000.0,1940,0.0,1940,14952
202,1.0,3,1.0,7,470000.0,1010,0.0,1010,5000
203,1.5,3,1.0,7,226500.0,900,400.0,1300,7370
204,1.0,3,1.0,6,274250.0,910,0.0,910,8450
205,1.75,4,1.0,9,840000.0,1630,850.0,2480,11010
206,2.5,3,2.0,8,677900.0,2440,0.0,2440,4587
207,1.0,3,1.0,7,425000.0,1010,0.0,1010,5864
208,0.75,2,1.0,6,180250.0,900,0.0,900,9600
210,2.25,4,2.0,8,320000.0,1550,0.0,1550,7579
211,2.25,3,2.0,8,625504.0,1060,210.0,1270,1566
212,2.5,4,1.0,9,592500.0,2240,0.0,2240,12032
213,2.5,3,2.0,9,465000.0,2714,0.0,2714,17936
214,2.75,4,2.0,8,477000.0,1720,0.0,1720,6270
215,1.0,2,1.0,6,280000.0,850,0.0,850,16400
217,2.5,3,2.0,8,445838.0,2250,0.0,2250,5692
218,2.25,2,1.0,8,1070000.0,1950,1950.0,3900,14864
219,1.5,2,1.0,8,467000.0,1320,0.0,1320,10800
220,2.5,4,2.0,10,686000.0,2760,0.0,2760,6440
221,2.0,3,1.0,7,279950.0,1350,400.0,1750,9750
222,2.25,4,2.0,8,527000.0,2330,0.0,2330,19436
223,2.25,3,1.0,8,325000.0,1780,440.0,2220,16020
224,2.25,3,2.0,7,328000.0,2020,0.0,2020,8379
225,2.25,3,1.0,7,390000.0,1250,0.0,1250,7500
226,2.0,2,1.0,8,479950.0,1510,0.0,1510,6516
227,2.25,4,1.0,7,264950.0,1120,600.0,1720,9753
228,1.0,3,1.0,7,235000.0,980,450.0,1430,15246
229,2.5,3,2.0,7,516500.0,1480,0.0,1480,4729
231,2.75,4,1.0,7,500000.0,2280,0.0,2280,15347
232,2.75,6,1.0,8,315000.0,1780,1160.0,2940,7350
233,1.0,2,1.0,6,213000.0,1000,0.0,1000,10200
234,1.5,3,1.5,7,475000.0,1620,860.0,2480,5280
235,4.0,5,2.0,10,1030000.0,3760,0.0,3760,28040
236,2.0,3,1.0,7,416000.0,1640,580.0,2220,94300
239,2.5,6,1.0,9,472000.0,2350,2060.0,4410,14034
240,1.75,3,1.0,7,225000.0,1430,0.0,1430,8505
241,1.0,2,1.0,6,210000.0,830,0.0,830,6000
242,1.0,2,1.5,7,455000.0,1430,0.0,1430,5000
243,1.0,3,1.0,6,225000.0,1300,0.0,1300,8316
244,1.0,2,1.0,7,480000.0,790,240.0,1030,3060
245,2.5,3,2.0,9,363000.0,2740,0.0,2740,11872
246,2.5,4,1.0,9,2400000.0,1830,1820.0,3650,8354
247,1.5,2,1.0,6,181000.0,720,0.0,720,5120
248,2.0,4,1.0,7,250000.0,2010,0.0,2010,7312
249,1.75,3,1.0,6,481000.0,770,790.0,1560,3000
250,2.0,3,1.0,7,260000.0,1240,570.0,1810,7209
251,2.5,4,2.0,9,455000.0,3360,0.0,3360,7685
252,2.25,3,2.0,8,415000.0,1510,0.0,1510,36224
253,1.0,3,1.0,7,349500.0,800,600.0,1400,3538
254,2.5,3,2.0,7,245000.0,1730,0.0,1730,7442
255,2.0,2,1.5,7,592500.0,1420,0.0,1420,9191
256,1.75,4,1.0,7,385000.0,1180,1180.0,2360,7620
257,1.75,3,1.0,7,315000.0,1200,380.0,1580,11455
258,1.0,3,1.0,7,255000.0,1230,0.0,1230,10170
259,2.5,4,2.0,8,693000.0,2460,0.0,2460,4425
260,1.0,3,1.5,8,780000.0,1460,200.0,1660,4400
261,1.75,3,1.0,7,237000.0,1270,0.0,1270,8470
262,2.25,3,2.0,10,525000.0,1320,780.0,2100,40510
263,1.0,2,1.0,5,425000.0,770,0.0,770,5040
264,0.75,1,1.0,5,369900.0,760,0.0,760,10079
265,2.5,4,2.0,7,290000.0,1700,0.0,1700,7280
266,1.0,3,1.0,7,285000.0,1120,0.0,1120,10701
267,1.0,2,1.0,7,415000.0,1070,0.0,1070,4500
268,2.5,3,1.0,8,272500.0,1420,650.0,2070,9900
269,3.25,4,1.5,11,2900000.0,4750,300.0,5050,20100
270,4.75,4,2.0,11,1370000.0,5310,0.0,5310,57346
271,1.0,2,1.0,7,436000.0,1040,0.0,1040,7538
272,1.0,3,1.0,7,210000.0,1700,0.0,1700,11390
273,1.0,3,1.0,7,236000.0,1300,0.0,1300,5898
275,2.5,3,2.0,8,365000.0,2653,0.0,2653,4510
276,2.0,3,1.0,8,450000.0,2290,0.0,2290,16258
277,2.75,4,2.0,9,770000.0,2850,970.0,3820,26300
278,2.5,4,1.0,8,455000.0,2210,0.0,2210,49375
279,1.75,3,1.0,6,405000.0,1240,1150.0,2390,6000
280,1.75,4,1.0,7,304900.0,1610,990.0,2600,11325
281,1.0,2,1.0,6,170000.0,860,0.0,860,5265
283,2.5,4,2.0,9,780000.0,3500,0.0,3500,7048
284,3.0,3,1.0,8,330000.0,1740,680.0,2420,13959
285,2.5,4,2.0,9,370000.0,2720,0.0,2720,8666
286,2.25,5,1.0,7,467000.0,1850,650.0,2500,13500
287,1.75,3,1.0,7,405000.0,1140,530.0,1670,6720
288,2.25,5,1.0,8,675000.0,1450,1450.0,2900,10300
289,1.0,2,1.0,7,500000.0,1140,500.0,1640,14100
290,2.5,4,2.0,7,389999.0,1890,0.0,1890,15770
291,1.75,4,1.0,8,630000.0,1780,1170.0,2950,9025
292,2.5,4,2.0,9,360000.0,2160,0.0,2160,9528
293,3.0,4,2.0,8,580000.0,2270,1010.0,3280,11060
294,2.0,3,2.0,8,550000.0,1270,700.0,1970,4166
295,2.5,4,2.0,10,879000.0,3360,0.0,3360,22111
296,2.0,3,1.0,7,265000.0,1320,0.0,1320,8959
297,2.5,3,2.0,8,446500.0,2650,0.0,2650,7286
298,1.5,3,1.0,7,404000.0,1330,700.0,2030,8880
299,1.75,3,1.0,7,267500.0,1090,500.0,1590,11914
300,5.0,4,1.0,10,3080000.0,2600,1950.0,4550,18641
301,2.5,3,2.0,8,335000.0,2440,0.0,2440,7632
302,2.5,3,1.0,7,576000.0,970,970.0,1940,9000
303,2.5,3,2.0,8,208633.0,2040,0.0,2040,3810
304,2.25,3,1.0,7,315000.0,1120,1080.0,2200,8750
305,1.75,3,1.0,8,725000.0,960,960.0,1920,3300
306,2.75,4,1.0,8,550000.0,1400,400.0,1800,7750
307,2.25,4,2.0,8,610750.0,2180,0.0,2180,7297
308,1.0,2,1.5,6,550700.0,1010,0.0,1010,5000
309,2.75,4,2.0,8,665000.0,2220,0.0,3320,10574
310,2.5,4,1.5,8,834000.0,1980,390.0,2370,4000
311,1.75,5,1.5,6,201000.0,1660,0.0,1660,78408
312,2.5,5,2.0,10,2380000.0,3370,280.0,3650,9050
313,3.25,4,1.0,11,1380000.0,2690,1600.0,4290,12103
314,3.25,4,1.0,11,1400000.0,2690,1600.0,4290,12103
315,2.25,4,1.0,8,305000.0,1350,600.0,1950,7700
316,2.0,3,1.0,8,487000.0,1720,870.0,2590,14052
317,2.5,3,1.0,8,390000.0,1930,0.0,1930,64904
318,1.0,2,1.0,7,548000.0,1170,300.0,1470,3864
319,1.0,4,1.0,6,268750.0,800,0.0,800,8775
320,2.75,5,2.0,9,819900.0,3150,0.0,3150,7119
321,2.25,3,2.0,8,520000.0,2030,0.0,2030,16200
322,2.0,3,1.0,7,230000.0,1450,0.0,1450,11204
323,1.75,3,1.0,7,240000.0,1510,0.0,1510,10248
326,2.5,3,2.0,9,274975.0,3030,0.0,3030,45004
327,2.0,4,1.5,9,740000.0,2050,0.0,2050,4400
328,1.0,3,1.0,7,186375.0,1000,0.0,1000,7636
329,2.25,3,1.0,9,790000.0,1590,780.0,2370,10289
331,1.75,6,2.0,7,279000.0,2240,0.0,2240,11180
332,2.0,3,1.0,8,295000.0,1810,0.0,1810,10530
333,1.0,2,1.0,7,640000.0,1070,0.0,1070,5000
334,2.0,4,2.0,9,940000.0,2490,0.0,2490,9525
335,2.5,4,2.0,7,260000.0,1960,0.0,1960,5238
336,2.75,3,1.0,9,559900.0,1860,1070.0,2930,5569
337,2.0,4,1.5,7,791500.0,1510,0.0,1510,3500
338,1.75,3,1.0,7,265000.0,1420,0.0,1420,8250
339,1.75,3,1.0,7,245000.0,1740,0.0,1740,11547
340,1.75,4,2.0,7,485000.0,2560,0.0,2560,43995
341,3.5,4,2.0,9,684000.0,2420,620.0,3040,8414
342,1.75,3,1.0,8,425000.0,1300,1200.0,2500,6840
343,1.75,4,1.0,6,309600.0,1275,0.0,1275,20000
344,2.5,4,2.0,8,552250.0,2580,0.0,2580,5823
345,1.0,4,1.0,6,165000.0,1000,0.0,1000,7134
346,1.0,4,1.0,6,239900.0,1000,0.0,1000,7134
347,1.0,2,1.0,6,320000.0,1070,0.0,1070,32633
348,2.0,3,1.0,7,206600.0,1390,0.0,1390,13464
349,1.75,4,1.0,7,387000.0,1250,1250.0,2500,7690
350,0.75,1,1.0,4,299000.0,560,0.0,560,12120
351,2.75,4,2.0,9,855000.0,2270,0.0,2270,10460
352,1.0,3,1.0,7,315000.0,1300,600.0,1900,14400
353,1.0,2,1.0,7,437500.0,790,200.0,990,3120
354,1.5,4,1.0,7,252000.0,1050,500.0,1550,19800
355,1.75,4,1.0,7,375000.0,1100,1100.0,2200,7475
356,2.5,4,2.0,7,300000.0,1910,0.0,1910,4862
357,1.0,4,1.5,7,420000.0,1750,0.0,1750,9600
359,2.5,3,2.0,9,679900.0,1980,460.0,2440,5750
360,2.5,3,2.0,7,463000.0,1640,0.0,1640,29970
361,2.5,5,2.0,9,380000.0,2760,0.0,2760,11340
362,2.5,4,2.0,7,329500.0,1820,0.0,1820,7912
363,2.5,3,1.0,8,604950.0,1340,770.0,2110,5608
364,2.5,5,1.0,8,795000.0,1640,1400.0,3040,9570
365,2.0,3,2.0,7,465000.0,1840,0.0,1840,40438
366,2.5,4,2.0,9,673000.0,2990,0.0,2990,10400
367,2.5,4,2.0,10,810000.0,3520,0.0,3520,15420
368,2.75,4,1.0,8,785000.0,1910,530.0,2440,69415
369,3.0,4,1.0,7,338000.0,1370,720.0,2090,7500
370,2.25,3,2.0,7,280000.0,1430,0.0,1430,7222
371,2.25,4,1.0,7,315000.0,1100,1080.0,2180,10754
372,2.25,4,1.0,7,530000.0,1100,1080.0,2180,10754
373,3.0,5,2.0,9,380000.0,3450,0.0,3450,9914
374,2.25,3,2.0,7,297000.0,1450,0.0,1450,7562
375,2.5,4,2.0,10,730000.0,3230,0.0,3230,7331
376,1.75,3,1.0,7,450000.0,1110,530.0,1640,13500
377,3.0,3,1.0,7,275000.0,1060,530.0,1590,7750
378,2.0,4,2.0,7,595000.0,2020,0.0,2020,2849
381,3.0,3,2.0,10,950000.0,3030,1010.0,4040,14338
382,2.25,4,2.0,7,389000.0,2130,0.0,2130,5337
383,2.25,4,1.0,8,560000.0,1580,970.0,2550,7800
384,3.5,5,2.0,11,1350000.0,3480,0.0,4800,14984
385,2.25,4,2.0,8,799000.0,2510,0.0,2510,11585
386,2.0,3,1.0,7,365500.0,1410,0.0,1410,9600
387,2.0,3,1.0,7,252350.0,1160,490.0,1650,7352
388,2.5,4,2.0,8,403950.0,2120,0.0,2120,13780
389,1.5,4,1.0,7,385000.0,1380,660.0,2040,10726
390,1.0,4,1.5,7,345000.0,1550,0.0,1550,7620
391,2.75,3,2.0,9,490000.0,1980,0.0,1980,3128
392,2.5,3,2.0,8,330000.0,1600,0.0,1600,26977
393,2.75,4,2.0,8,927000.0,3300,0.0,3300,12090
394,2.5,4,2.0,10,1120000.0,3840,0.0,3840,16619
395,1.0,2,1.0,7,330000.0,1220,0.0,1220,10000
396,2.25,5,1.0,7,530000.0,1500,1220.0,2720,8800
397,2.0,4,1.0,8,365000.0,1940,0.0,1940,25600
399,1.75,4,1.5,7,269900.0,1530,0.0,1530,8750
400,3.5,3,2.0,8,557000.0,1290,420.0,1710,2096
401,1.75,4,1.0,7,360000.0,2150,1580.0,3730,16980
402,1.0,2,1.0,7,352000.0,940,0.0,940,5000
403,2.5,3,2.0,8,437000.0,1750,0.0,1750,22357
404,2.5,4,2.0,7,322500.0,1820,0.0,1820,6753
405,3.25,3,2.0,9,650000.0,1330,180.0,1510,2000
406,2.0,3,3.0,8,450000.0,1290,0.0,1290,1213
407,2.0,3,1.0,7,278500.0,1570,0.0,1570,5250
408,2.5,4,2.0,8,364950.0,1930,0.0,1930,6957
409,3.5,4,1.0,10,840000.0,2840,0.0,2840,40139
410,2.5,3,2.0,7,268000.0,1550,0.0,1550,8134
412,2.5,3,2.0,8,632925.0,2990,0.0,2990,32239
413,2.5,3,2.0,9,577500.0,2000,0.0,2000,7251
414,1.5,4,1.5,7,339000.0,2390,0.0,2390,7480
415,1.75,3,1.0,7,570000.0,1530,1380.0,2910,37461
417,2.25,4,1.0,7,423000.0,1290,910.0,2200,9351
418,2.25,3,2.0,8,355000.0,1860,0.0,1860,5028
420,1.0,2,1.0,7,482000.0,950,0.0,950,3960
421,1.75,3,1.0,7,625000.0,1600,0.0,1600,9135
422,2.5,3,2.0,8,538000.0,2250,0.0,2250,11632
423,2.5,3,2.0,8,380000.0,2280,0.0,2280,10255
424,1.0,2,1.0,7,375000.0,940,0.0,940,5120
425,2.5,3,1.0,7,245000.0,1030,500.0,1530,8500
426,1.75,5,1.0,7,310000.0,2190,0.0,2190,27260
427,2.0,3,1.0,8,1300000.0,1770,580.0,2350,15021
428,2.0,4,1.0,7,397000.0,1200,240.0,1440,7680
429,2.5,3,2.0,8,365000.0,2200,0.0,2200,4052
430,3.0,4,2.0,9,328500.0,2290,0.0,2290,8250
431,3.0,4,2.0,11,988000.0,4040,0.0,4040,19700
432,2.5,4,1.5,8,1000000.0,1920,690.0,2610,3277
433,2.5,3,2.0,7,237000.0,1490,0.0,1490,2138
434,2.5,4,2.0,8,525000.0,2450,0.0,2450,5280
436,2.5,5,2.0,10,722500.0,3470,1400.0,4870,11800
437,2.5,3,2.0,10,843000.0,3130,0.0,3130,8750
438,2.0,2,3.0,8,438000.0,1270,0.0,1270,1372
439,1.75,3,1.0,8,578000.0,1540,580.0,2120,10875
440,1.5,3,1.0,7,227950.0,1670,0.0,1670,8230
441,2.25,3,2.0,7,196000.0,2070,0.0,2070,11576
442,1.0,2,1.0,8,641000.0,1070,350.0,1420,5332
444,1.0,3,1.0,7,205000.0,940,0.0,940,7980
445,1.75,3,1.0,7,400000.0,1920,0.0,1920,9102
446,2.5,3,1.0,10,1030000.0,2610,935.0,3545,9816
447,2.0,3,1.0,7,505000.0,1260,0.0,1260,5460
448,2.5,5,1.0,7,475000.0,1300,1040.0,2340,7200
449,2.25,3,1.0,8,520000.0,1440,1150.0,2590,9263
450,4.5,3,2.0,10,1450000.0,3260,710.0,3970,24920
451,1.75,3,1.0,7,333500.0,1220,0.0,1220,9732
452,1.0,3,1.0,6,232000.0,1400,0.0,1400,10403
453,2.75,3,1.0,8,691100.0,1710,650.0,2360,16117
454,1.75,3,1.0,8,811000.0,1870,0.0,1870,9897
455,2.5,3,2.0,9,551000.0,2830,0.0,2830,5802
456,2.5,3,2.0,8,496500.0,2260,0.0,2260,3640
457,3.0,3,2.0,9,705000.0,1770,200.0,1970,20978
458,2.5,4,1.0,9,578000.0,1770,1370.0,3140,9225
459,1.75,3,1.0,7,255000.0,1240,0.0,1240,8659
460,3.5,4,2.0,10,1050000.0,3450,0.0,3450,7832
