,bathrooms,bedrooms,floors,grade,price,sqft_above,sqft_basement,sqft_lot
40,2.5,4.0,2.0,9.0,625000.0,2570.0,0.0,5520.0
41,2.25,4.0,1.0,8.0,775000.0,2600.0,1620.0,24186.0
42,2.75,5.0,2.0,9.0,861990.0,3595.0,0.0,5639.0
43,1.0,3.0,2.0,7.0,685000.0,1570.0,0.0,2280.0
44,1.0,3.0,1.0,6.0,309000.0,920.0,360.0,9656.0
45,2.5,3.0,2.0,8.0,488000.0,3160.0,0.0,13603.0
46,1.0,3.0,1.0,6.0,210490.0,990.0,0.0,8528.0
47,2.5,4.0,2.0,9.0,785000.0,2290.0,0.0,13416.0
48,1.75,3.0,1.0,7.0,450000.0,1250.0,0.0,5963.0
49,2.5,3.0,1.0,9.0,1350000.0,2165.0,588.0,65005.0
50,1.0,3.0,1.0,7.0,228000.0,1190.0,0.0,9199.0
51,2.5,5.0,1.0,8.0,345000.0,1640.0,1510.0,9134.0
52,1.75,3.0,1.0,7.0,600000.0,1000.0,410.0,4080.0
53,1.75,2.0,1.0,7.0,585000.0,990.0,990.0,8550.0
54,2.25,5.0,1.5,8.0,920000.0,2130.0,600.0,6000.0
55,2.5,4.0,2.0,9.0,885000.0,2830.0,0.0,5000.0
56,2.5,4.0,2.0,7.0,292500.0,2250.0,0.0,4495.0
57,2.5,3.0,2.0,8.0,301000.0,2420.0,0.0,4750.0
58,3.25,5.0,2.0,8.0,951000.0,3250.0,0.0,14342.0
59,3.0,4.0,2.0,8.0,430000.0,1850.0,0.0,9976.0
60,2.25,3.0,1.0,8.0,650000.0,1590.0,560.0,21235.0
61,1.75,3.0,1.0,7.0,289000.0,1260.0,0.0,8400.0
62,1.75,3.0,2.0,8.0,505000.0,2519.0,0.0,8690.0
63,1.75,3.0,3.0,8.0,549000.0,1540.0,0.0,1044.0
64,2.25,3.0,1.0,7.0,425000.0,1110.0,550.0,6000.0
65,2.75,3.0,1.5,7.0,317625.0,1770.0,1000.0,3809.0
66,2.5,4.0,2.0,10.0,975000.0,2720.0,0.0,11049.0
67,2.5,4.0,2.0,7.0,287000.0,2240.0,0.0,4648.0
68,1.0,3.0,1.0,7.0,204000.0,1000.0,0.0,12070.0
69,2.25,5.0,1.0,8.0,1330000.0,1600.0,1600.0,20158.0
70,3.25,5.0,1.0,11.0,1040000.0,3070.0,1700.0,50094.0
71,2.0,3.0,1.0,7.0,325000.0,1260.0,0.0,5612.0
72,2.0,4.0,1.5,7.0,571000.0,2250.0,500.0,7807.0
73,2.5,4.0,2.0,8.0,360000.0,2380.0,0.0,5000.0
74,1.75,3.0,1.0,7.0,349000.0,1090.0,700.0,50529.0
75,4.0,4.0,2.0,10.0,832500.0,2390.0,1040.0,35102.0
76,1.75,4.0,1.0,7.0,380000.0,880.0,880.0,7300.0
77,1.0,3.0,1.0,7.0,480000.0,1040.0,0.0,5060.0
78,1.0,3.0,1.0,7.0,410000.0,910.0,500.0,5060.0
79,2.5,4.0,2.0,10.0,720000.0,3450.0,0.0,39683.0
80,2.5,3.0,2.0,8.0,390000.0,2350.0,0.0,5100.0
81,2.5,4.0,2.0,7.0,360000.0,1900.0,0.0,5889.0
82,1.0,2.0,1.0,7.0,355000.0,1010.0,1010.0,6720.0
83,1.5,3.0,1.0,8.0,356000.0,1680.0,0.0,8712.0
84,1.0,3.0,1.0,6.0,315000.0,960.0,0.0,6634.0
85,1.5,3.0,2.0,9.0,940000.0,1900.0,240.0,3600.0
86,2.25,5.0,1.5,7.0,305000.0,2660.0,0.0,8400.0
87,3.25,3.0,2.0,9.0,461000.0,1980.0,790.0,6278.0
88,2.25,2.0,2.0,7.0,215000.0,1610.0,0.0,2040.0
89,1.75,2.0,2.0,7.0,335000.0,765.0,265.0,1066.0
90,2.5,4.0,2.0,7.0,243500.0,1980.0,0.0,7403.0
91,2.75,5.0,2.0,10.0,1100000.0,3520.0,0.0,6353.0
92,1.0,3.0,1.0,7.0,153000.0,1200.0,0.0,10500.0
93,1.5,3.0,1.0,8.0,430000.0,1290.0,290.0,5000.0
94,1.5,3.0,1.0,8.0,700000.0,1290.0,290.0,5000.0
96,1.75,3.0,1.0,7.0,247500.0,1960.0,0.0,15681.0
97,1.5,4.0,1.0,7.0,199000.0,1160.0,0.0,6400.0
98,1.75,3.0,1.0,7.0,314000.0,1210.0,600.0,41800.0
99,2.5,3.0,2.0,9.0,437500.0,2320.0,0.0,36847.0
100,2.5,3.0,1.5,9.0,850830.0,1270.0,800.0,13241.0
101,2.0,3.0,1.5,7.0,555000.0,1440.0,540.0,3478.0
102,2.25,3.0,2.0,8.0,699950.0,2190.0,0.0,107593.0
104,1.0,3.0,1.0,7.0,290000.0,1210.0,0.0,33919.0
105,2.5,3.0,1.0,8.0,375000.0,1460.0,880.0,10005.0
106,1.0,3.0,1.5,7.0,460000.0,1170.0,500.0,4005.0
107,1.75,2.0,1.0,8.0,188500.0,1240.0,0.0,2493.0
108,2.5,4.0,2.0,10.0,680000.0,3140.0,0.0,28037.0
109,1.75,5.0,2.0,7.0,470000.0,2030.0,0.0,12342.0
110,2.5,4.0,2.0,8.0,597750.0,2310.0,0.0,9624.0
111,1.75,3.0,1.0,6.0,570000.0,700.0,560.0,3328.0
112,1.75,3.0,1.0,7.0,272500.0,1160.0,0.0,12600.0
113,1.75,3.0,1.0,7.0,329950.0,1080.0,1000.0,5969.0
114,2.5,4.0,2.0,9.0,480000.0,2520.0,710.0,16171.0
115,3.5,3.0,2.0,8.0,740500.0,2780.0,0.0,6350.0
116,3.5,3.0,3.0,8.0,518500.0,1590.0,0.0,1102.0
117,1.0,2.0,1.0,6.0,205425.0,880.0,0.0,6780.0
118,2.0,4.0,1.0,6.0,171800.0,1570.0,0.0,9600.0
119,1.0,4.0,1.5,7.0,535000.0,1610.0,0.0,2982.0
120,2.5,3.0,1.0,8.0,660000.0,1560.0,840.0,6474.0
121,2.0,3.0,1.0,7.0,391500.0,1450.0,0.0,9132.0
122,1.0,2.0,1.0,6.0,395000.0,770.0,0.0,6000.0
123,1.75,4.0,1.5,7.0,445000.0,1720.0,380.0,4400.0
124,2.25,3.0,2.0,9.0,770000.0,2910.0,0.0,10204.0
126,2.25,3.0,1.0,8.0,445000.0,1620.0,480.0,8201.0
127,2.25,4.0,1.0,8.0,260000.0,1360.0,800.0,8811.0
128,3.5,5.0,2.0,7.0,822500.0,1720.0,600.0,4960.0
129,2.5,4.0,2.0,7.0,430000.0,2070.0,0.0,4310.0
130,1.75,3.0,1.0,7.0,212000.0,1060.0,0.0,7875.0
131,2.25,4.0,1.0,8.0,660500.0,1440.0,570.0,9603.0
132,3.5,3.0,1.5,9.0,784000.0,2460.0,1490.0,111078.0
133,2.5,3.0,2.0,8.0,453246.0,1390.0,620.0,2287.0
134,3.5,4.0,3.0,9.0,675000.0,2140.0,0.0,2278.0
135,1.75,3.0,1.0,7.0,199000.0,1320.0,0.0,17390.0
136,1.75,4.0,1.0,7.0,220000.0,1010.0,1010.0,7840.0
137,2.25,4.0,1.0,8.0,452000.0,1340.0,1250.0,10002.0
138,1.0,2.0,1.0,6.0,382500.0,1190.0,0.0,4440.0
139,2.25,3.0,3.0,8.0,519950.0,1170.0,0.0,1249.0
140,1.0,2.0,1.0,7.0,665000.0,1110.0,0.0,3200.0
141,2.5,5.0,1.0,8.0,527700.0,1550.0,1270.0,9375.0
142,1.0,3.0,1.0,7.0,205000.0,1010.0,600.0,8579.0
143,1.0,3.0,1.0,7.0,420000.0,940.0,120.0,8097.0
144,2.25,4.0,1.0,8.0,500000.0,1380.0,650.0,8517.0
145,2.5,4.0,2.0,9.0,921500.0,3670.0,0.0,315374.0
146,1.0,4.0,2.0,8.0,890000.0,2370.0,180.0,4000.0
147,2.5,2.0,2.0,7.0,430000.0,2420.0,0.0,60984.0
148,2.0,5.0,1.0,8.0,258000.0,1130.0,1130.0,12500.0
149,1.0,3.0,1.0,7.0,511000.0,980.0,450.0,3455.0
150,2.0,3.0,2.0,8.0,532170.0,1360.0,0.0,3090.0
151,1.0,3.0,1.5,7.0,560000.0,1110.0,0.0,5000.0
152,1.0,3.0,1.0,7.0,282950.0,1250.0,0.0,8200.0
153,3.25,4.0,2.0,12.0,2250000.0,3540.0,1640.0,19850.0
154,1.0,1.0,1.0,7.0,350000.0,700.0,0.0,5100.0
155,1.0,3.0,1.0,7.0,215000.0,1180.0,0.0,7669.0
156,3.5,5.0,2.0,9.0,650000.0,2500.0,1460.0,25245.0
157,2.75,4.0,1.0,8.0,320000.0,1620.0,1020.0,7500.0
159,1.75,4.0,1.0,8.0,320000.0,1760.0,0.0,11180.0
160,2.25,5.0,1.0,7.0,255000.0,1030.0,1030.0,8632.0
161,1.75,3.0,1.0,7.0,438000.0,1780.0,0.0,9660.0
162,2.5,3.0,2.0,10.0,900000.0,3400.0,0.0,16603.0
163,2.75,3.0,1.0,7.0,441000.0,1160.0,750.0,7280.0
164,2.0,3.0,1.0,7.0,420000.0,1010.0,1010.0,38332.0
165,1.75,3.0,1.0,7.0,370000.0,1180.0,400.0,7000.0
166,1.75,2.0,1.0,5.0,269950.0,700.0,640.0,7250.0
167,2.5,4.0,2.0,9.0,807100.0,2680.0,0.0,4499.0
168,2.5,3.0,1.0,8.0,653000.0,1610.0,1070.0,9750.0
169,2.0,3.0,1.0,7.0,371500.0,1370.0,0.0,8336.0
170,1.75,3.0,1.0,7.0,284000.0,1560.0,0.0,21000.0
171,1.75,3.0,1.0,7.0,272000.0,1670.0,490.0,7140.0
172,1.5,3.0,1.5,7.0,313000.0,1340.0,0.0,7912.0
173,2.5,4.0,2.0,10.0,917500.0,2570.0,1310.0,35003.0
174,2.25,4.0,2.0,8.0,673000.0,2590.0,0.0,8190.0
175,2.5,3.0,2.0,8.0,425000.0,820.0,300.0,1100.0
176,2.75,5.0,1.0,7.0,399950.0,1320.0,650.0,5400.0
177,1.0,3.0,1.0,6.0,385000.0,1220.0,0.0,4800.0
178,1.5,3.0,1.0,7.0,269950.0,1320.0,630.0,7560.0
179,1.0,2.0,1.0,7.0,330000.0,1060.0,290.0,8220.0
180,2.5,3.0,2.0,7.0,260000.0,1670.0,0.0,5797.0
181,3.0,4.0,1.5,7.0,470000.0,1680.0,700.0,5125.0
182,3.0,4.0,2.0,7.0,589000.0,2440.0,0.0,9600.0
183,1.5,2.0,2.0,7.0,163500.0,1050.0,0.0,3419.0
184,2.75,4.0,2.0,9.0,835000.0,2140.0,990.0,13412.0
185,3.0,5.0,1.0,10.0,1100000.0,2090.0,2000.0,12850.0
186,1.75,4.0,1.0,8.0,269000.0,1100.0,390.0,10000.0
187,2.5,3.0,2.0,8.0,560000.0,1900.0,0.0,8744.0
188,1.0,4.0,1.5,6.0,615000.0,1330.0,0.0,2400.0
189,2.25,3.0,1.0,8.0,585188.0,1430.0,800.0,10026.0
190,1.75,3.0,1.0,7.0,305000.0,1220.0,430.0,9480.0
191,1.0,3.0,1.0,6.0,166950.0,1190.0,0.0,8820.0
192,2.5,3.0,1.0,8.0,799000.0,2140.0,0.0,9897.0
193,2.5,3.0,1.0,7.0,400000.0,1420.0,760.0,7508.0
194,1.0,3.0,1.0,7.0,230000.0,1060.0,0.0,10228.0
195,2.5,3.0,2.0,8.0,256883.0,1690.0,0.0,5025.0
196,2.0,4.0,1.5,7.0,423000.0,1130.0,840.0,6480.0
197,2.5,3.0,2.0,8.0,465000.0,2150.0,0.0,4084.0
198,2.5,3.0,2.0,7.0,440000.0,1910.0,0.0,66211.0
199,1.75,3.0,1.0,7.0,385000.0,1350.0,0.0,155073.0
200,1.0,3.0,1.0,6.0,210000.0,860.0,0.0,11725.0
201,2.5,3.0,2.0,8.0,297000.0,1940.0,0.0,14952.0
202,1.0,3.0,1.0,7.0,470000.0,1010.0,0.0,5000.0
203,1.5,3.0,1.0,7.0,226500.0,900.0,400.0,7370.0
204,1.0,3.0,1.0,6.0,274250.0,910.0,0.0,8450.0
205,1.75,4.0,1.0,9.0,840000.0,1630.0,850.0,11010.0
206,2.5,3.0,2.0,8.0,677900.0,2440.0,0.0,4587.0
207,1.0,3.0,1.0,7.0,425000.0,1010.0,0.0,5864.0
208,0.75,2.0,1.0,6.0,180250.0,900.0,0.0,9600.0
210,2.25,4.0,2.0,8.0,320000.0,1550.0,0.0,7579.0
211,2.25,3.0,2.0,8.0,625504.0,1060.0,210.0,1566.0
212,2.5,4.0,1.0,9.0,592500.0,2240.0,0.0,12032.0
213,2.5,3.0,2.0,9.0,465000.0,2714.0,0.0,17936.0
214,2.75,4.0,2.0,8.0,477000.0,1720.0,0.0,6270.0
215,1.0,2.0,1.0,6.0,280000.0,850.0,0.0,16400.0
217,2.5,3.0,2.0,8.0,445838.0,2250.0,0.0,5692.0
218,2.25,2.0,1.0,8.0,1070000.0,1950.0,1950.0,14864.0
219,1.5,2.0,1.0,8.0,467000.0,1320.0,0.0,10800.0
220,2.5,4.0,2.0,10.0,686000.0,2760.0,0.0,6440.0
221,2.0,3.0,1.0,7.0,279950.0,1350.0,400.0,9750.0
222,2.25,4.0,2.0,8.0,527000.0,2330.0,0.0,19436.0
223,2.25,3.0,1.0,8.0,325000.0,1780.0,440.0,16020.0
224,2.25,3.0,2.0,7.0,328000.0,2020.0,0.0,8379.0
225,2.25,3.0,1.0,7.0,390000.0,1250.0,0.0,7500.0
226,2.0,2.0,1.0,8.0,479950.0,1510.0,0.0,6516.0
227,2.25,4.0,1.0,7.0,264950.0,1120.0,600.0,9753.0
228,1.0,3.0,1.0,7.0,235000.0,980.0,450.0,15246.0
229,2.5,3.0,2.0,7.0,516500.0,1480.0,0.0,4729.0
231,2.75,4.0,1.0,7.0,500000.0,2280.0,0.0,15347.0
232,2.75,6.0,1.0,8.0,315000.0,1780.0,1160.0,7350.0
233,1.0,2.0,1.0,6.0,213000.0,1000.0,0.0,10200.0
234,1.5,3.0,1.5,7.0,475000.0,1620.0,860.0,5280.0
235,4.0,5.0,2.0,10.0,1030000.0,3760.0,0.0,28040.0
236,2.0,3.0,1.0,7.0,416000.0,1640.0,580.0,94300.0
238,3.5,3.0,2.0,10.0,800000.0,3530.0,300.0,221284.0
239,2.5,6.0,1.0,9.0,472000.0,2350.0,2060.0,14034.0
240,1.75,3.0,1.0,7.0,225000.0,1430.0,0.0,8505.0
241,1.0,2.0,1.0,6.0,210000.0,830.0,0.0,6000.0
242,1.0,2.0,1.5,7.0,455000.0,1430.0,0.0,5000.0
243,1.0,3.0,1.0,6.0,225000.0,1300.0,0.0,8316.0
244,1.0,2.0,1.0,7.0,480000.0,790.0,240.0,3060.0
245,2.5,3.0,2.0,9.0,363000.0,2740.0,0.0,11872.0
246,2.5,4.0,1.0,9.0,2400000.0,1830.0,1820.0,8354.0
247,1.5,2.0,1.0,6.0,181000.0,720.0,0.0,5120.0
248,2.0,4.0,1.0,7.0,250000.0,2010.0,0.0,7312.0
249,1.75,3.0,1.0,6.0,481000.0,770.0,790.0,3000.0
250,2.0,3.0,1.0,7.0,260000.0,1240.0,570.0,7209.0
251,2.5,4.0,2.0,9.0,455000.0,3360.0,0.0,7685.0
252,2.25,3.0,2.0,8.0,415000.0,1510.0,0.0,36224.0
253,1.0,3.0,1.0,7.0,349500.0,800.0,600.0,3538.0
254,2.5,3.0,2.0,7.0,245000.0,1730.0,0.0,7442.0
255,2.0,2.0,1.5,7.0,592500.0,1420.0,0.0,9191.0
256,1.75,4.0,1.0,7.0,385000.0,1180.0,1180.0,7620.0
257,1.75,3.0,1.0,7.0,315000.0,1200.0,380.0,11455.0
258,1.0,3.0,1.0,7.0,255000.0,1230.0,0.0,10170.0
259,2.5,4.0,2.0,8.0,693000.0,2460.0,0.0,4425.0
260,1.0,3.0,1.5,8.0,780000.0,1460.0,200.0,4400.0
261,1.75,3.0,1.0,7.0,237000.0,1270.0,0.0,8470.0
262,2.25,3.0,2.0,10.0,525000.0,1320.0,780.0,40510.0
263,1.0,2.0,1.0,5.0,425000.0,770.0,0.0,5040.0
264,0.75,1.0,1.0,5.0,369900.0,760.0,0.0,10079.0
265,2.5,4.0,2.0,7.0,290000.0,1700.0,0.0,7280.0
266,1.0,3.0,1.0,7.0,285000.0,1120.0,0.0,10701.0
267,1.0,2.0,1.0,7.0,415000.0,1070.0,0.0,4500.0
268,2.5,3.0,1.0,8.0,272500.0,1420.0,650.0,9900.0
269,3.25,4.0,1.5,11.0,2900000.0,4750.0,300.0,20100.0
270,4.75,4.0,2.0,11.0,1370000.0,5310.0,0.0,57346.0
271,1.0,2.0,1.0,7.0,436000.0,1040.0,0.0,7538.0
272,1.0,3.0,1.0,7.0,210000.0,1700.0,0.0,11390.0
273,1.0,3.0,1.0,7.0,236000.0,1300.0,0.0,5898.0
275,2.5,3.0,2.0,8.0,365000.0,2653.0,0.0,4510.0
276,2.0,3.0,1.0,8.0,450000.0,2290.0,0.0,16258.0
277,2.75,4.0,2.0,9.0,770000.0,2850.0,970.0,26300.0
278,2.5,4.0,1.0,8.0,455000.0,2210.0,0.0,49375.0
279,1.75,3.0,1.0,6.0,405000.0,1240.0,1150.0,6000.0
280,1.75,4.0,1.0,7.0,304900.0,1610.0,990.0,11325.0
281,1.0,2.0,1.0,6.0,170000.0,860.0,0.0,5265.0
283,2.5,4.0,2.0,9.0,780000.0,3500.0,0.0,7048.0
284,3.0,3.0,1.0,8.0,330000.0,1740.0,680.0,13959.0
285,2.5,4.0,2.0,9.0,370000.0,2720.0,0.0,8666.0
286,2.25,5.0,1.0,7.0,467000.0,1850.0,650.0,13500.0
287,1.75,3.0,1.0,7.0,405000.0,1140.0,530.0,6720.0
288,2.25,5.0,1.0,8.0,675000.0,1450.0,1450.0,10300.0
289,1.0,2.0,1.0,7.0,500000.0,1140.0,500.0,14100.0
290,2.5,4.0,2.0,7.0,389999.0,1890.0,0.0,15770.0
291,1.75,4.0,1.0,8.0,630000.0,1780.0,1170.0,9025.0
292,2.5,4.0,2.0,9.0,360000.0,2160.0,0.0,9528.0
293,3.0,4.0,2.0,8.0,580000.0,2270.0,1010.0,11060.0
294,2.0,3.0,2.0,8.0,550000.0,1270.0,700.0,4166.0
295,2.5,4.0,2.0,10.0,879000.0,3360.0,0.0,22111.0
296,2.0,3.0,1.0,7.0,265000.0,1320.0,0.0,8959.0
297,2.5,3.0,2.0,8.0,446500.0,2650.0,0.0,7286.0
298,1.5,3.0,1.0,7.0,404000.0,1330.0,700.0,8880.0
299,1.75,3.0,1.0,7.0,267500.0,1090.0,500.0,11914.0
300,5.0,4.0,1.0,10.0,3080000.0,2600.0,1950.0,18641.0
301,2.5,3.0,2.0,8.0,335000.0,2440.0,0.0,7632.0
302,2.5,3.0,1.0,7.0,576000.0,970.0,970.0,9000.0
303,2.5,3.0,2.0,8.0,208633.0,2040.0,0.0,3810.0
304,2.25,3.0,1.0,7.0,315000.0,1120.0,1080.0,8750.0
305,1.75,3.0,1.0,8.0,725000.0,960.0,960.0,3300.0
306,2.75,4.0,1.0,8.0,550000.0,1400.0,400.0,7750.0
307,2.25,4.0,2.0,8.0,610750.0,2180.0,0.0,7297.0
308,1.0,2.0,1.5,6.0,550700.0,1010.0,0.0,5000.0
309,2.75,4.0,2.0,8.0,665000.0,2220.0,0.0,10574.0
310,2.5,4.0,1.5,8.0,834000.0,1980.0,390.0,4000.0
311,1.75,5.0,1.5,6.0,201000.0,1660.0,0.0,78408.0
312,2.5,5.0,2.0,10.0,2380000.0,3370.0,280.0,9050.0
313,3.25,4.0,1.0,11.0,1380000.0,2690.0,1600.0,12103.0
314,3.25,4.0,1.0,11.0,1400000.0,2690.0,1600.0,12103.0
315,2.25,4.0,1.0,8.0,305000.0,1350.0,600.0,7700.0
316,2.0,3.0,1.0,8.0,487000.0,1720.0,870.0,14052.0
317,2.5,3.0,1.0,8.0,390000.0,1930.0,0.0,64904.0
318,1.0,2.0,1.0,7.0,548000.0,1170.0,300.0,3864.0
319,1.0,4.0,1.0,6.0,268750.0,800.0,0.0,8775.0
320,2.75,5.0,2.0,9.0,819900.0,3150.0,0.0,7119.0
321,2.25,3.0,2.0,8.0,520000.0,2030.0,0.0,16200.0
322,2.0,3.0,1.0,7.0,230000.0,1450.0,0.0,11204.0
323,1.75,3.0,1.0,7.0,240000.0,1510.0,0.0,10248.0
326,2.5,3.0,2.0,9.0,274975.0,3030.0,0.0,45004.0
327,2.0,4.0,1.5,9.0,740000.0,2050.0,0.0,4400.0
328,1.0,3.0,1.0,7.0,186375.0,1000.0,0.0,7636.0
329,2.25,3.0,1.0,9.0,790000.0,1590.0,780.0,10289.0
331,1.75,6.0,2.0,7.0,279000.0,2240.0,0.0,11180.0
332,2.0,3.0,1.0,8.0,295000.0,1810.0,0.0,10530.0
333,1.0,2.0,1.0,7.0,640000.0,1070.0,0.0,5000.0
334,2.0,4.0,2.0,9.0,940000.0,2490.0,0.0,9525.0
335,2.5,4.0,2.0,7.0,260000.0,1960.0,0.0,5238.0
336,2.75,3.0,1.0,9.0,559900.0,1860.0,1070.0,5569.0
337,2.0,4.0,1.5,7.0,791500.0,1510.0,0.0,3500.0
338,1.75,3.0,1.0,7.0,265000.0,1420.0,0.0,8250.0
339,1.75,3.0,1.0,7.0,245000.0,1740.0,0.0,11547.0
340,1.75,4.0,2.0,7.0,485000.0,2560.0,0.0,43995.0
341,3.5,4.0,2.0,9.0,684000.0,2420.0,620.0,8414.0
342,1.75,3.0,1.0,8.0,425000.0,1300.0,1200.0,6840.0
343,1.75,4.0,1.0,6.0,309600.0,1275.0,0.0,20000.0
344,2.5,4.0,2.0,8.0,552250.0,2580.0,0.0,5823.0
345,1.0,4.0,1.0,6.0,165000.0,1000.0,0.0,7134.0
346,1.0,4.0,1.0,6.0,239900.0,1000.0,0.0,7134.0
347,1.0,2.0,1.0,6.0,320000.0,1070.0,0.0,32633.0
348,2.0,3.0,1.0,7.0,206600.0,1390.0,0.0,13464.0
349,1.75,4.0,1.0,7.0,387000.0,1250.0,1250.0,7690.0
350,0.75,1.0,1.0,4.0,299000.0,560.0,0.0,12120.0
351,2.75,4.0,2.0,9.0,855000.0,2270.0,0.0,10460.0
352,1.0,3.0,1.0,7.0,315000.0,1300.0,600.0,14400.0
353,1.0,2.0,1.0,7.0,437500.0,790.0,200.0,3120.0
354,1.5,4.0,1.0,7.0,252000.0,1050.0,500.0,19800.0
355,1.75,4.0,1.0,7.0,375000.0,1100.0,1100.0,7475.0
356,2.5,4.0,2.0,7.0,300000.0,1910.0,0.0,4862.0
357,1.0,4.0,1.5,7.0,420000.0,1750.0,0.0,9600.0
359,2.5,3.0,2.0,9.0,679900.0,1980.0,460.0,5750.0
360,2.5,3.0,2.0,7.0,463000.0,1640.0,0.0,29970.0
361,2.5,5.0,2.0,9.0,380000.0,2760.0,0.0,11340.0
362,2.5,4.0,2.0,7.0,329500.0,1820.0,0.0,7912.0
363,2.5,3.0,1.0,8.0,604950.0,1340.0,770.0,5608.0
364,2.5,5.0,1.0,8.0,795000.0,1640.0,1400.0,9570.0
365,2.0,3.0,2.0,7.0,465000.0,1840.0,0.0,40438.0
366,2.5,4.0,2.0,9.0,673000.0,2990.0,0.0,10400.0
367,2.5,4.0,2.0,10.0,810000.0,3520.0,0.0,15420.0
368,2.75,4.0,1.0,8.0,785000.0,1910.0,530.0,69415.0
369,3.0,4.0,1.0,7.0,338000.0,1370.0,720.0,7500.0
370,2.25,3.0,2.0,7.0,280000.0,1430.0,0.0,7222.0
371,2.25,4.0,1.0,7.0,315000.0,1100.0,1080.0,10754.0
372,2.25,4.0,1.0,7.0,530000.0,1100.0,1080.0,10754.0
373,3.0,5.0,2.0,9.0,380000.0,3450.0,0.0,9914.0
374,2.25,3.0,2.0,7.0,297000.0,1450.0,0.0,7562.0
375,2.5,4.0,2.0,10.0,730000.0,3230.0,0.0,7331.0
376,1.75,3.0,1.0,7.0,450000.0,1110.0,530.0,13500.0
377,3.0,3.0,1.0,7.0,275000.0,1060.0,530.0,7750.0
378,2.0,4.0,2.0,7.0,595000.0,2020.0,0.0,2849.0
380,1.5,2.0,1.0,6.0,270000.0,1380.0,0.0,209959.0
381,3.0,3.0,2.0,10.0,950000.0,3030.0,1010.0,14338.0
382,2.25,4.0,2.0,7.0,389000.0,2130.0,0.0,5337.0
383,2.25,4.0,1.0,8.0,560000.0,1580.0,970.0,7800.0
384,3.5,5.0,2.0,11.0,1350000.0,3480.0,0.0,14984.0
385,2.25,4.0,2.0,8.0,799000.0,2510.0,0.0,11585.0
386,2.0,3.0,1.0,7.0,365500.0,1410.0,0.0,9600.0
387,2.0,3.0,1.0,7.0,252350.0,1160.0,490.0,7352.0
388,2.5,4.0,2.0,8.0,403950.0,2120.0,0.0,13780.0
389,1.5,4.0,1.0,7.0,385000.0,1380.0,660.0,10726.0
390,1.0,4.0,1.5,7.0,345000.0,1550.0,0.0,7620.0
391,2.75,3.0,2.0,9.0,490000.0,1980.0,0.0,3128.0
