,bathrooms,bedrooms,floors,grade,house_age,lat,long,price,sqft_basement,sqft_living,sqft_lot,waterfront,yr_built,zipcode
734,2.5,4,2.0,9,3,47.3591,-122.20100000000001,347500.0,0.0,2156,3562,False,2012,98030
753,2.5,2,1.0,8,4,47.717,-122.02,699800.0,0.0,2380,6600,True,2010,98053
782,1.5,3,2.0,8,5,47.7073,-122.35600000000001,320000.0,190.0,1240,1221,False,2009,98133
815,3.25,3,2.5,8,0,47.3077,-122.01100000000001,379000.0,0.0,2660,17852,False,2014,98010
863,3.5,3,2.0,10,5,47.5951,-122.307,910000.0,0.0,2480,3200,True,2010,98144
901,3.5,4,1.0,9,1,47.5134,-122.2,839900.0,1250.0,3810,13592,False,2013,98056
981,2.75,2,2.0,8,5,47.5175,-121.87799999999999,420000.0,0.0,1760,4139,False,2010,98065
1003,2.25,3,2.0,7,2,47.3204,-122.178,245000.0,0.0,1422,3677,False,2012,98092
1060,3.25,5,2.0,9,0,47.6849,-122.01799999999999,1040000.0,0.0,4475,6642,False,2014,98053
1101,2.5,2,2.0,7,3,47.5462,-122.369,285000.0,240.0,1380,1073,True,2011,98126
1222,2.5,4,2.0,9,1,47.5529,-122.281,735000.0,770.0,2820,6180,False,2013,98118
1273,2.0,2,2.0,8,5,47.5926,-122.295,363000.0,120.0,920,1201,False,2009,98144
1324,3.5,3,2.0,8,5,47.607,-122.305,625000.0,370.0,1810,1846,False,2009,98122
1365,2.5,3,2.0,8,4,47.3668,-122.178,303700.0,0.0,1981,5700,False,2010,98030
1412,2.5,4,2.0,9,5,47.6962,-122.179,706000.0,0.0,2740,7571,False,2009,98033
1495,3.5,3,2.0,8,0,47.596000000000004,-122.29799999999999,499950.0,390.0,1820,1991,False,2014,98144
1496,3.0,4,2.0,9,1,47.5917,-122.38600000000001,1220000.0,1100.0,3470,4750,False,2014,98116
1530,2.5,3,2.0,8,2,47.5389,-122.367,409900.0,280.0,1690,1200,False,2013,98106
1728,4.25,5,2.0,10,0,47.5774,-122.22200000000001,1680000.0,1110.0,4830,11466,False,2014,98040
1758,2.5,3,2.0,8,0,47.5487,-122.272,599950.0,0.0,2660,4975,False,2014,98118
1761,4.0,4,2.0,10,-1,47.5784,-122.226,597326.0,710.0,3570,8250,False,2015,98040
1875,2.75,5,2.0,9,4,47.5932,-122.05799999999999,820000.0,0.0,2830,6137,False,2010,98074
1880,3.75,6,2.0,9,0,47.6873,-122.333,1130000.0,1010.0,3010,4360,False,2014,98103
1929,4.0,6,3.0,9,2,47.4514,-122.273,598800.0,1240.0,4470,17877,False,2013,98188
2023,2.25,3,3.0,8,0,47.6758,-122.38,719950.0,0.0,2190,2416,False,2014,98117
2379,2.25,3,2.0,7,3,47.3198,-122.178,282000.0,0.0,1552,3600,True,2012,98092
2476,2.25,3,3.0,7,5,47.7071,-122.336,275000.0,0.0,1260,1488,False,2009,98133
2544,2.5,4,2.0,7,3,47.3672,-122.01899999999999,299900.0,0.0,1580,3632,False,2011,98038
2685,1.0,1,1.5,6,-1,47.5756,-122.316,385195.0,0.0,710,6000,False,2015,98144
2692,3.5,5,2.0,9,3,47.7085,-122.117,830000.0,810.0,3700,5400,False,2011,98053
2750,2.5,3,2.0,9,1,47.5762,-122.415,856000.0,0.0,2160,3920,False,2014,98116
2752,3.5,5,2.0,9,0,47.5664,-122.12899999999999,866059.0,560.0,3130,4797,False,2014,98006
2788,3.75,5,2.0,10,1,47.5761,-122.205,1610000.0,0.0,3530,13260,False,2013,98040
2809,3.5,4,2.0,9,1,47.6844,-122.016,963990.0,0.0,3915,6364,False,2014,98053
2871,2.25,3,2.0,7,3,47.7342,-121.96799999999999,335000.0,0.0,1530,4580,False,2011,98019
3108,3.0,4,2.0,9,3,47.5437,-122.395,870000.0,720.0,2940,7108,False,2011,98136
3120,2.5,4,2.0,8,1,47.4954,-122.152,527000.0,0.0,2900,6736,False,2013,98059
3340,2.0,2,2.0,7,5,47.596000000000004,-122.311,247300.0,100.0,1140,1118,False,2009,98144
3439,2.5,3,3.0,8,0,47.7049,-122.34,412000.0,0.0,1553,1991,False,2014,98133
3449,2.5,2,3.0,11,4,47.6182,-122.31200000000001,1230000.0,560.0,2470,609,False,2011,98112
3517,2.25,3,2.0,8,0,47.6937,-122.338,802000.0,0.0,2170,5001,False,2014,98103
3597,3.5,4,3.0,9,0,47.5203,-122.39299999999999,889000.0,0.0,3210,5000,False,2014,98136
3680,3.0,3,2.0,9,2,47.4759,-121.735,535000.0,0.0,2640,5978,True,2012,98045
3720,2.5,3,3.0,8,5,47.6197,-122.3,579000.0,0.0,1640,1269,False,2009,98112
3725,3.5,4,2.0,9,1,47.5662,-122.37899999999999,866500.0,1070.0,3080,4945,False,2014,98126
3744,4.0,5,2.0,10,1,47.6168,-122.21600000000001,2450000.0,0.0,4430,9000,False,2013,98004
3879,2.75,3,3.0,9,0,47.5763,-122.40799999999999,589950.0,320.0,1670,1350,False,2014,98116
3972,2.5,3,2.0,7,3,47.3655,-122.01899999999999,279000.0,0.0,1450,4106,False,2011,98038
4106,2.5,4,2.0,8,3,47.3835,-122.095,350000.0,0.0,2560,5428,True,2012,98042
4150,2.25,3,2.0,9,0,47.6814,-122.288,631000.0,420.0,1670,1396,False,2015,98115
4180,2.5,4,2.0,8,2,47.3513,-122.17399999999999,335000.0,0.0,2154,6050,False,2012,98030
4268,3.75,4,2.0,9,5,47.6901,-122.35600000000001,912000.0,0.0,1980,4095,False,2009,98103
4302,2.5,3,2.0,9,0,47.6451,-122.375,649950.0,300.0,1500,1375,False,2014,98119
4342,2.25,3,3.0,9,3,47.5404,-122.26799999999999,715000.0,0.0,1990,4977,False,2012,98118
4346,2.5,3,2.0,9,0,47.6423,-122.375,659950.0,530.0,1610,1246,False,2014,98119
4347,2.0,3,2.0,9,2,47.5438,-122.385,458500.0,460.0,1890,1599,False,2012,98136
4350,2.75,4,2.0,9,1,47.553999999999995,-122.189,978000.0,0.0,2890,7821,False,2014,98006
4599,2.0,4,2.0,7,5,47.4645,-122.337,305000.0,500.0,2470,1831,False,2009,98166
4670,3.25,4,2.0,10,1,47.5727,-122.40899999999999,1350000.0,920.0,3440,4920,False,2014,98116
4751,2.5,3,2.0,8,0,47.5518,-121.99799999999999,372977.0,540.0,1690,1618,False,2014,98029
4769,1.75,2,2.0,8,0,47.5519,-121.999,357186.0,0.0,1210,1040,False,2014,98029
4847,3.25,5,2.0,9,0,47.6847,-122.016,988830.0,0.0,4115,7910,False,2014,98053
4923,3.25,4,2.0,9,0,47.6906,-122.01899999999999,1050000.0,0.0,3830,8331,False,2014,98053
4936,2.5,4,2.0,8,0,47.5164,-122.19,635000.0,0.0,2930,8679,False,2014,98056
4953,2.5,3,2.0,8,2,47.3555,-122.054,317000.0,0.0,1840,5011,False,2012,98038
5020,3.75,4,3.0,8,2,47.6805,-122.346,1170000.0,0.0,3920,4500,False,2013,98103
5063,2.5,3,2.0,8,0,47.5525,-121.99799999999999,479990.0,620.0,2010,2386,False,2014,98029
5143,3.5,4,2.0,9,1,47.683,-122.015,994900.0,0.0,3695,6556,False,2014,98053
5145,2.75,4,2.0,8,5,47.7068,-122.11200000000001,800000.0,0.0,3010,7427,False,2010,98052
5242,2.5,4,2.0,8,0,47.7698,-122.384,890000.0,0.0,3370,7200,False,2014,98177
5257,2.5,4,2.0,8,0,47.5526,-121.999,439990.0,0.0,1540,1994,True,2014,98029
5318,2.5,4,2.0,8,3,47.3296,-122.18,319950.0,0.0,2038,7643,False,2011,98092
5344,2.5,3,2.0,8,0,47.5518,-121.99799999999999,386591.0,540.0,1690,1613,False,2014,98029
5428,3.25,5,2.0,9,1,47.6802,-122.208,1740000.0,1020.0,3930,5500,False,2014,98033
5533,2.5,3,2.0,8,5,47.5412,-122.286,448500.0,0.0,2080,3920,False,2010,98118
5638,2.75,5,2.0,8,2,47.3259,-122.167,359950.0,0.0,2844,3990,False,2013,98092
5640,4.0,5,2.0,10,3,47.5201,-122.204,980000.0,630.0,3460,5400,False,2012,98056
5670,3.25,5,2.0,9,4,47.6349,-122.204,1420000.0,900.0,4020,4500,False,2010,98004
5748,2.25,2,2.0,8,2,47.5942,-122.29799999999999,387000.0,270.0,1230,1280,False,2012,98144
5770,2.5,3,1.0,9,0,47.6994,-122.34899999999999,730000.0,620.0,2160,8809,False,2014,98103
5780,1.75,2,2.0,8,0,47.5522,-121.999,357562.0,0.0,1210,1032,False,2014,98029
5823,2.5,4,2.0,9,5,47.3686,-122.05799999999999,455000.0,0.0,2811,7251,False,2009,98038
5874,5.0,5,2.0,11,0,47.6209,-122.23700000000001,3420000.0,,5450,20412,False,2014,98039
5936,2.75,4,2.0,9,1,47.5538,-122.189,908950.0,0.0,3090,6200,False,2014,98006
6028,2.0,2,3.0,9,0,47.6354,-122.346,680000.0,,1450,989,False,2014,98109
6162,2.25,3,2.0,7,5,47.6783,-122.15700000000001,435000.0,0.0,1380,3015,False,2009,98052
6183,2.75,5,2.0,9,0,47.7754,-122.17299999999999,738515.0,0.0,3360,9200,False,2014,98011
6223,1.75,3,3.0,8,4,47.6958,-122.34299999999999,360000.0,0.0,1255,1113,False,2010,98103
6232,2.5,5,2.0,7,2,47.4726,-122.28200000000001,380000.0,0.0,2130,8428,False,2013,98168
6234,3.5,3,3.0,9,5,47.6224,-122.32600000000001,635000.0,380.0,1730,1349,False,2009,98102
6253,2.5,4,2.0,8,5,47.7199,-122.24600000000001,750000.0,0.0,2930,8641,False,2010,98034
6383,4.5,5,2.0,10,2,47.4702,-122.275,600000.0,0.0,4440,9784,False,2012,98168
6592,2.5,4,2.0,8,5,47.4324,-122.184,370000.0,0.0,2130,4750,True,2009,98058
6639,2.5,2,2.0,8,5,47.5163,-121.87799999999999,378000.0,0.0,1700,2513,False,2009,98065
6718,2.5,3,3.0,8,5,47.7325,-122.34299999999999,305000.0,0.0,1260,1622,False,2009,98133
6989,2.5,3,2.0,8,2,47.3545,-122.056,359500.0,0.0,2070,4689,False,2013,98038
7078,2.5,3,2.0,7,5,47.3531,-122.01700000000001,318200.0,0.0,1990,3644,False,2010,98038
7186,2.5,4,3.0,8,0,47.6747,-122.39299999999999,630000.0,0.0,1910,1502,False,2014,98107
7208,2.75,4,2.0,9,0,47.7101,-122.10799999999999,779950.0,0.0,2990,4298,False,2014,98052
7220,2.25,3,3.0,8,0,47.6722,-122.384,520000.0,0.0,1210,1250,False,2014,98107
7372,2.75,3,2.0,10,4,47.5304,-122.073,713000.0,290.0,2310,1850,False,2011,98027
7425,3.5,4,2.0,11,3,47.6299,-122.28,2580000.0,400.0,3280,3800,False,2011,98112
7433,3.75,4,2.0,9,1,47.553999999999995,-122.19,928950.0,0.0,3280,6000,False,2014,98006
7478,2.5,4,2.0,7,5,47.3841,-122.036,350000.0,0.0,2440,4000,False,2009,98038
7519,2.75,5,2.0,8,-1,47.7685,-122.16,614285.0,0.0,2730,6401,False,2015,98072
7591,2.5,3,3.0,8,1,47.6987,-122.365,539950.0,0.0,1330,2180,False,2014,98117
7794,2.5,3,2.0,7,2,47.3658,-122.01700000000001,321000.0,0.0,2020,4183,False,2012,98038
7860,2.5,4,2.0,8,0,47.4787,-122.12200000000001,580135.0,0.0,3150,5886,False,2014,98059
7863,2.75,4,2.0,8,4,47.6964,-122.01700000000001,680000.0,0.0,2500,4950,False,2010,98053
7943,2.5,3,3.0,8,0,47.7048,-122.34,401500.0,0.0,1509,1114,False,2014,98133
7979,2.5,4,2.0,9,1,47.6842,-122.196,1290000.0,0.0,3430,7200,False,2014,98033
7996,2.5,4,2.0,9,5,47.669,-122.17200000000001,860000.0,0.0,3070,6923,False,2009,98033
8000,4.25,5,2.0,8,0,47.4349,-122.32799999999999,569950.0,0.0,3380,7805,False,2014,98148
8032,1.5,2,2.0,8,-1,47.6001,-122.29799999999999,455000.0,200.0,1200,1259,False,2015,98144
8044,3.0,5,2.0,8,3,47.4815,-122.15299999999999,590000.0,0.0,3480,6625,True,2012,98059
8046,3.25,4,2.0,9,3,47.7001,-122.238,1250000.0,0.0,3160,10043,False,2011,98034
8078,2.5,4,2.0,8,3,47.732,-122.178,537000.0,0.0,1990,2660,False,2012,98034
8088,3.25,3,2.0,8,0,47.67,-122.31700000000001,526000.0,290.0,1220,1281,False,2014,98105
8103,2.75,4,2.0,8,2,47.4909,-122.14399999999999,625000.0,0.0,2920,6605,False,2012,98059
8113,4.0,7,2.0,8,1,47.5259,-122.279,450000.0,0.0,3150,7800,False,2013,98118
8117,2.25,2,2.0,9,5,47.5663,-122.289,374000.0,0.0,1100,1695,False,2009,98118
8138,2.0,2,2.0,8,3,47.5169,-121.87799999999999,394000.0,0.0,1750,2731,False,2012,98065
8346,2.5,3,2.0,8,1,47.6974,-122.369,775000.0,520.0,2480,5007,False,2014,98117
8373,2.5,4,2.0,8,5,47.2649,-122.292,335000.0,0.0,2610,4781,True,2009,98001
8383,2.25,3,3.0,8,1,47.674,-122.37700000000001,565000.0,0.0,1520,1221,True,2013,98107
8397,2.25,3,3.0,8,5,47.7326,-122.34299999999999,315000.0,0.0,1370,1533,False,2009,98133
8418,2.75,5,2.0,8,0,47.7348,-122.34,628000.0,0.0,2600,8160,False,2015,98133
8583,3.25,5,2.0,9,0,47.6843,-122.016,955990.0,0.0,3830,6507,False,2014,98053
8718,2.5,3,2.0,9,1,47.7194,-122.199,650000.0,0.0,2380,3332,False,2014,98034
8790,3.5,4,2.0,9,3,47.5932,-122.15899999999999,975000.0,700.0,3130,52322,False,2011,98005
8834,2.5,2,2.0,8,5,47.7055,-122.34200000000001,355000.0,290.0,1370,1140,False,2009,98133
8839,2.5,3,2.0,9,2,47.644,-122.385,601000.0,560.0,1740,1251,False,2012,98199
8938,2.5,3,2.0,8,0,47.5521,-121.99799999999999,404763.0,540.0,1690,1609,False,2014,98029
8974,3.0,3,2.0,9,5,47.6929,-122.333,503045.0,0.0,1560,2250,False,2009,98103
9070,2.5,3,2.0,8,0,47.5524,-121.99799999999999,413565.0,540.0,1690,1613,False,2014,98029
9406,2.75,4,2.0,9,0,47.6849,-122.016,790500.0,0.0,3350,5416,False,2014,98053
9419,2.75,4,2.0,9,4,47.593999999999994,-122.06200000000001,800000.0,0.0,3120,5000,False,2010,98074
9442,2.0,3,3.0,8,0,47.605,-122.304,500000.0,,1560,1156,False,2014,98122
9489,3.5,4,2.5,9,5,47.6956,-122.022,875000.0,0.0,3790,6874,False,2010,98053
9522,2.5,4,2.0,9,1,47.5019,-122.15100000000001,487500.0,0.0,2810,6296,False,2013,98059
9638,2.5,3,2.0,8,2,47.7508,-122.23899999999999,554990.0,0.0,2100,6092,False,2013,98028
9759,2.25,3,3.0,8,1,47.6987,-122.366,514950.0,0.0,1310,1264,False,2014,98117
9883,2.75,4,3.0,9,0,47.7097,-122.10700000000001,784950.0,0.0,2840,4227,False,2014,98052
9889,3.25,4,2.0,9,0,47.685,-122.016,963990.0,0.0,3830,6765,False,2014,98053
9975,3.0,5,1.0,7,1,47.4866,-122.319,330000.0,850.0,2100,7715,False,2013,98168
10021,2.75,3,3.0,9,0,47.5764,-122.40799999999999,649950.0,320.0,1670,1350,False,2014,98116
10051,2.5,3,2.0,9,5,47.3686,-122.059,430000.0,0.0,2670,12806,False,2010,98038
10172,2.5,3,2.0,8,0,47.5528,-121.999,419990.0,540.0,1690,1689,False,2014,98029
10219,2.5,5,2.0,9,3,47.475,-121.73700000000001,594950.0,0.0,3280,6553,False,2012,98045
10227,2.75,4,2.0,10,0,47.5168,-122.189,730000.0,0.0,3440,8150,False,2014,98056
10271,3.75,5,2.0,8,0,47.435,-122.329,540500.0,0.0,3090,7415,False,2014,98166
10318,2.75,4,2.0,9,0,47.6845,-122.01700000000001,839990.0,0.0,3660,5637,False,2014,98053
10457,3.75,4,2.0,10,3,47.6291,-122.363,2000000.0,360.0,2870,4500,False,2012,98119
10512,1.75,2,2.0,8,0,47.5526,-121.99799999999999,351358.0,0.0,1210,1189,False,2014,98029
10513,2.75,5,2.0,10,1,47.6039,-122.194,1700000.0,0.0,3810,9360,False,2014,98004
10590,2.5,3,2.0,8,0,47.5523,-121.99799999999999,472217.0,,2010,2212,False,2014,98029
10613,2.5,4,2.0,8,4,47.7338,-121.96600000000001,396800.0,0.0,2200,6018,False,2010,98019
10680,2.5,4,2.0,8,3,47.2793,-122.295,345000.0,0.0,2382,5899,False,2011,98003
10817,2.5,3,2.0,8,3,47.3548,-122.055,299000.0,0.0,1650,4725,False,2011,98038
10890,2.5,3,2.0,8,4,47.7057,-122.11200000000001,729000.0,0.0,2440,4244,False,2011,98052
10995,3.25,3,3.0,8,0,47.6945,-122.37700000000001,599950.0,0.0,1830,1804,False,2014,98117
11013,3.25,4,3.0,9,2,47.6259,-122.14200000000001,760000.0,0.0,2590,3889,False,2013,98007
11014,1.75,3,2.0,8,0,47.5493,-122.387,469000.0,480.0,1480,800,False,2014,98136
11072,2.75,4,2.0,9,0,47.7107,-122.11,814950.0,0.0,2990,6626,False,2014,98052
11102,1.5,2,2.0,8,5,47.6684,-122.363,536000.0,100.0,1130,746,False,2009,98107
11104,2.5,3,2.0,9,1,47.6425,-122.374,629950.0,560.0,1680,1620,False,2014,98119
11175,3.25,3,2.0,9,1,47.7132,-122.29299999999999,674000.0,390.0,2320,6744,False,2014,98125
11385,3.5,3,2.0,8,0,47.596000000000004,-122.29799999999999,499950.0,390.0,1820,1501,False,2014,98144
11410,2.0,2,1.0,8,5,47.7101,-122.014,589000.0,0.0,1850,4667,False,2010,98053
11431,2.25,2,1.0,10,3,47.5304,-122.20200000000001,630000.0,830.0,2550,5663,False,2011,98056
11458,2.75,2,1.0,9,2,47.7187,-122.024,850000.0,0.0,2700,9854,False,2012,98053
11536,2.5,4,2.0,8,0,47.5521,-121.999,491234.0,0.0,1540,1860,False,2014,98029
11618,2.5,3,3.0,8,4,47.6381,-122.375,472000.0,0.0,1180,1262,False,2010,98119
11733,2.5,3,2.0,7,3,47.386,-122.04700000000001,299950.0,0.0,1780,4650,False,2011,98038
11866,3.5,3,2.0,9,5,47.6385,-122.281,1620000.0,920.0,3490,4000,False,2009,98112
11879,2.5,4,2.0,9,0,47.7538,-122.325,625000.0,0.0,2820,8408,False,2014,98155
11903,2.5,4,2.0,7,4,47.559,-122.365,464950.0,0.0,1640,6000,False,2011,98106
12092,4.25,5,2.0,10,0,47.6351,-122.36399999999999,1430000.0,1090.0,3350,3600,False,2014,98119
12459,2.5,3,2.0,8,5,47.5418,-122.287,433500.0,0.0,2200,3360,False,2009,98118
12497,4.25,4,2.0,10,1,47.6332,-122.199,1890000.0,0.0,4285,9345,False,2013,98004
12522,1.75,2,2.0,9,5,47.6192,-122.316,530000.0,390.0,1170,976,False,2010,98102
12592,2.75,4,2.0,8,4,47.5471,-122.016,735000.0,0.0,2450,4187,False,2010,98027
12597,3.75,5,2.0,9,5,47.6418,-122.39200000000001,1300000.0,990.0,4450,7680,False,2010,98199
12638,3.25,4,3.0,8,0,47.6353,-122.353,1850000.0,0.0,3480,6000,False,2014,98109
12714,2.75,4,2.0,8,0,47.7685,-122.15899999999999,642860.0,0.0,2520,6398,False,2014,98072
12720,3.75,4,2.0,9,2,47.6853,-122.204,1150000.0,680.0,3180,9889,False,2012,98033
12892,2.5,4,2.0,9,5,47.6961,-122.316,967000.0,0.0,3100,7250,False,2010,98115
12899,2.75,5,2.0,8,1,47.3461,-122.152,326000.0,0.0,2166,6342,False,2013,98042
12945,2.75,4,2.0,8,0,47.7397,-122.316,690500.0,0.0,3130,8920,False,2014,98155
13114,2.25,2,3.0,7,5,47.6754,-122.12100000000001,465000.0,50.0,1390,1222,False,2009,98052
13164,3.5,3,2.0,8,4,47.5767,-122.41,585000.0,440.0,1700,2197,False,2010,98116
13168,3.25,5,2.0,8,1,47.773999999999994,-122.28,680000.0,450.0,2440,15815,False,2014,98155
13220,3.0,5,2.0,10,5,47.6809,-122.288,910000.0,0.0,2640,5096,False,2009,98115
13324,2.5,3,2.0,8,0,47.5528,-121.999,462608.0,620.0,2010,2778,False,2014,98029
13459,2.25,3,2.0,8,0,47.6647,-122.28399999999999,594000.0,210.0,1270,1406,False,2014,98105
13496,2.75,4,2.0,8,0,47.7484,-122.31700000000001,551000.0,0.0,2170,5988,False,2014,98155
13603,2.75,3,2.0,8,0,47.5164,-121.87700000000001,384205.0,0.0,1810,3292,False,2014,98065
13609,2.5,4,2.0,7,5,47.3655,-122.01799999999999,339950.0,0.0,2150,4000,False,2010,98038
13668,2.5,4,2.0,7,4,47.2957,-122.35700000000001,295000.0,0.0,1677,7209,False,2011,98023
13724,3.0,4,1.5,9,5,47.4813,-122.12899999999999,584950.0,0.0,3220,6224,False,2009,98059
13730,3.25,5,2.0,9,2,47.5933,-122.061,810000.0,0.0,3290,6422,False,2012,98074
13795,2.25,4,2.0,7,4,47.3666,-122.01899999999999,300000.0,0.0,1660,3200,False,2011,98038
13810,3.0,5,1.0,8,5,47.7271,-122.228,540000.0,,2570,5590,False,2009,98034
13883,2.75,3,2.0,10,3,47.5307,-122.074,593000.0,140.0,1830,1850,False,2011,98027
13952,2.5,3,2.0,7,4,47.1944,-121.97399999999999,277500.0,0.0,2620,4558,False,2010,98022
14180,2.25,4,2.0,9,2,47.5283,-122.385,950000.0,330.0,2770,5320,False,2013,98136
14202,3.5,5,2.0,10,0,47.6782,-122.29899999999999,1290000.0,610.0,2980,5100,False,2015,98115
14343,3.25,5,2.0,9,1,47.6914,-122.21,1010000.0,0.0,3510,10930,False,2013,98033
14363,2.25,2,2.0,8,5,47.6032,-122.311,546000.0,250.0,1530,1324,False,2010,98122
14411,2.5,3,2.0,8,1,47.5514,-121.99799999999999,550000.0,620.0,2010,2261,False,2014,98029
14420,3.25,4,2.0,10,5,47.5319,-122.07600000000001,760000.0,830.0,3140,3680,False,2009,98027
14446,2.5,4,2.0,8,5,47.4324,-122.185,346000.0,0.0,2100,3916,False,2009,98058
14475,2.25,2,2.0,9,-1,47.6514,-122.385,500000.0,290.0,1570,1269,True,2015,98199
14479,2.5,4,2.0,8,2,47.3252,-122.167,299999.0,0.0,1981,4828,True,2013,98092
14527,2.5,4,2.0,8,5,47.7073,-122.11200000000001,717000.0,0.0,2540,4241,False,2009,98052
14689,3.5,5,2.0,10,2,47.6628,-122.14299999999999,1080000.0,0.0,3740,11340,False,2013,98052
14772,2.5,3,2.0,7,1,47.2137,-121.98899999999999,255000.0,0.0,1720,6200,False,2014,98022
14776,2.25,4,2.0,8,3,47.7016,-122.17,670000.0,0.0,2040,7031,False,2012,98033
14829,2.5,4,2.0,9,5,47.3301,-122.191,305950.0,0.0,2007,4968,False,2009,98092
14835,2.5,2,3.0,7,5,47.676,-122.12100000000001,420000.0,0.0,1480,1369,False,2009,98052
14911,2.75,4,2.0,9,0,47.6472,-122.383,671000.0,690.0,1890,1475,False,2015,98199
14916,2.5,4,2.0,8,1,47.6885,-122.021,702000.0,0.0,2650,6240,False,2013,98053
15007,1.0,2,2.0,8,4,47.63800000000001,-122.375,447000.0,0.0,980,1600,False,2010,98119
15050,2.5,4,2.0,9,4,47.3696,-122.05799999999999,499000.0,0.0,3100,5700,False,2011,98038
15155,3.25,5,2.0,9,0,47.5202,-121.885,616200.0,890.0,3920,4832,False,2014,98065
15179,2.75,3,2.0,8,4,47.5826,-122.387,450000.0,,1250,892,False,2010,98116
15222,2.5,3,2.0,8,5,47.5456,-122.016,615000.0,90.0,1980,3128,False,2009,98027
15232,4.75,7,2.0,10,1,47.6221,-122.208,2300000.0,1660.0,5310,8816,False,2013,98004
15272,4.0,4,3.0,9,2,47.6362,-122.369,1120000.0,430.0,2530,1774,False,2013,98119
15314,3.5,5,2.0,9,3,47.6754,-122.32700000000001,1310000.0,,3270,4080,False,2011,98115
15338,2.5,4,2.0,10,0,47.6826,-122.186,1040000.0,0.0,2910,9131,False,2014,98033
15363,2.5,4,2.0,8,3,47.7364,-122.286,1950000.0,1270.0,3440,14554,True,2012,98155
15384,2.25,4,2.0,7,3,47.32,-122.178,281000.0,0.0,1677,3600,False,2012,98092
15416,3.75,4,2.0,9,0,47.6685,-122.33200000000001,1310000.0,880.0,3490,5625,False,2014,98103
15473,2.5,4,2.0,8,3,47.4513,-122.26700000000001,422000.0,0.0,2310,6650,False,2012,98166
15577,3.5,4,2.0,9,0,47.5371,-122.38799999999999,790000.0,470.0,2720,3000,False,2014,98136
15640,3.5,4,3.0,9,0,47.7103,-122.109,799950.0,,3030,5494,False,2014,98052
15655,2.0,2,2.0,8,1,47.6205,-122.3,570000.0,,1140,690,False,2014,98112
15658,2.5,4,2.0,7,5,47.3658,-122.01899999999999,355000.0,0.0,2150,3600,False,2010,98038
15716,2.5,3,2.0,8,5,47.7344,-121.965,366000.0,0.0,1790,4065,False,2009,98019
15883,2.5,4,2.0,8,3,47.3561,-122.056,379950.0,0.0,2680,4500,False,2011,98038
15964,2.5,4,2.0,8,2,47.3519,-122.17299999999999,376950.0,0.0,2643,5750,False,2012,98030
15968,2.5,4,2.0,8,1,47.6956,-122.36,652600.0,0.0,2220,5900,False,2014,98117
15996,2.5,4,2.0,8,1,47.4797,-122.126,540000.0,0.0,3000,5471,False,2013,98059
16021,2.25,3,2.0,7,3,47.3205,-122.178,264000.0,,1552,3677,False,2012,98092
16051,3.0,4,1.0,8,3,47.4889,-122.31700000000001,280000.0,0.0,2460,9606,False,2012,98168
16056,2.5,3,2.0,9,0,47.7153,-122.221,814842.0,0.0,3190,6899,False,2014,98034
16169,2.5,4,2.0,8,4,47.733999999999995,-121.965,480000.0,0.0,2980,4074,False,2011,98019
